Problem Number,Problem Name,LeetCode Link,Difficulty,Category
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,Tree
606,Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree/,Easy,Tree
872,Leaf-Similar Trees,https://leetcode.com/problems/leaf-similar-trees/,Easy,Tree
938,Range Sum of BST,https://leetcode.com/problems/range-sum-of-bst/,Easy,Tree
2331,Evaluate Boolean Binary Tree,https://leetcode.com/problems/evaluate-boolean-binary-tree/,Easy,Tree
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,Tree
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Medium,Tree
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,Tree
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,Tree
513,Find Bottom Left Tree Value,https://leetcode.com/problems/find-bottom-left-tree-value/,Medium,Tree
623,Add One Row to Tree,https://leetcode.com/problems/add-one-row-to-tree/,Medium,Tree
662,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/,Medium,Tree
865,Smallest Subtree with all the Deepest Nodes,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,Medium,Tree
958,Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree/,Medium,Tree
979,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree/,Medium,Tree
988,Smallest String Starting From Leaf,https://leetcode.com/problems/smallest-string-starting-from-leaf/,Medium,Tree
1026,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,Medium,Tree
1038,Binary Search Tree to Greater Sum Tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,Medium,Tree
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest/,Medium,Tree
1325,Delete Leaves With a Given Value,https://leetcode.com/problems/delete-leaves-with-a-given-value/,Medium,Tree
1372,Longest ZigZag Path in a Binary Tree,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/,Medium,Tree
1530,Number of Good Leaf Nodes Pairs,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/,Medium,Tree
1609,Even Odd Tree,https://leetcode.com/problems/even-odd-tree/,Medium,Tree
2096,Step-By-Step Directions From a Binary Tree Node to Another,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/,Medium,Tree
2196,Create Binary Tree From Descriptions,https://leetcode.com/problems/create-binary-tree-from-descriptions/,Medium,Tree
2265,Count Nodes Equal to Average of Subtree,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/,Medium,Tree
2415,Reverse Odd Levels of Binary Tree,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/,Medium,Tree
2471,Minimum Number of Operations to Sort a Binary Tree by Level,https://leetcode.com/problems/minimum-number-of-operations-to-sort-a-binary-tree-by-level/,Medium,Tree
1569,Number of Ways to Reorder Array to Get Same BST,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/,Hard,Tree
1261,Find Elements in a Contaminated Binary Tree,https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree/,Medium,Tree
1028,Recover a Tree From Preorder Traversal,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/,Hard,Tree
889,Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,Medium,Tree
2467,Most Profitable Path in a Tree,https://leetcode.com/problems/most-profitable-path-in-a-tree/,Medium,Tree
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Array
1002,Find Common Characters,https://leetcode.com/problems/find-common-characters/,Easy,Array
1122,Relative Sort Array,https://leetcode.com/problems/relative-sort-array/,Easy,Array
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,Easy,Array
1051,Height Checker,https://leetcode.com/problems/height-checker/,Easy,Array
3152,Special Array II,https://leetcode.com/problems/special-array-ii/,Medium,Array
3151,Special Array I,https://leetcode.com/problems/special-array-i/,Easy,Array
1684,Count the Number of Consistent Strings,https://leetcode.com/problems/count-the-number-of-consistent-strings/,Easy,Array
1688,Count of Matches in Tournament,https://leetcode.com/problems/count-of-matches-in-tournament/,Easy,Array
1496,Path Crossing,https://leetcode.com/problems/path-crossing/,Easy,Array
3206,Alternating Groups I,https://leetcode.com/problems/alternating-groups-i/,Easy,Array
3208,Alternating Groups II,https://leetcode.com/problems/alternating-groups-ii/,Medium,Array
3105,Longest Strictly Increasing or Strictly Decreasing Subarray,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray/,Easy,Array
2706,Buy Two Chocolates,https://leetcode.com/problems/buy-two-chocolates/,Easy,Array
2566,Maximum Difference by Remapping a Digit,https://leetcode.com/problems/maximum-difference-by-remapping-a-digit/,Easy,Array
2652,Find the Array Concatenation Value,https://leetcode.com/problems/sum-multiples/,Easy,Array
1582,Special Positions in a Binary Matrix,https://leetcode.com/problems/special-positions-in-a-binary-matrix/,Easy,Array
3028,Ant on the Boundary,https://leetcode.com/problems/ant-on-the-boundary/,Easy,Array
1380,Lucky Numbers in a Matrix,https://leetcode.com/problems/lucky-numbers-in-a-matrix/,Easy,Array
2864,Maximum Odd Binary Number,https://leetcode.com/problems/maximum-odd-binary-number/,Easy,Array
3132,Find the Integer Added to Array II,https://leetcode.com/problems/find-the-integer-added-to-array-ii/,Medium,Array
3131,Find the Integer Added to Array I,https://leetcode.com/problems/find-the-integer-added-to-array-i/,Easy,Array
3136,Valid Word,https://leetcode.com/problems/valid-word/,Easy,Array
2570,Merge Two 2D Arrays by Summing Values,https://leetcode.com/problems/merge-two-2d-arrays-by-summing-values/,Easy,Array
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,Array
525,Contiguous Array,https://leetcode.com/problems/contiguous-array/,Medium,Array
974,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k/,Medium,Array
846,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,Medium,Array
1296,Divide Array in Sets of K Consecutive Numbers,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers/,Medium,Array
3076,Shortest Uncommon Substring in an Array,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array/,Medium,Array
3039,Apply Operations to Make String Empty,https://leetcode.com/problems/apply-operations-to-make-string-empty/,Medium,Array
1424,Diagonal Traverse II,https://leetcode.com/problems/diagonal-traverse-ii/,Medium,Array
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,Array
769,Max Chunks To Make Sorted,https://leetcode.com/problems/max-chunks-to-make-sorted/,Medium,Array
3100,Water Bottles II,https://leetcode.com/problems/water-bottles-ii/,Medium,Array
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/,Medium,Array
3070,Count Submatrices with Top-Left Element and Sum Less Than k,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k/,Medium,Array
1686,Stone Game VI,https://leetcode.com/problems/stone-game-vi/,Medium,Array
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,Array
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,Array
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,Medium,Array
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,Medium,Array
3030,Find the Grid of Region Average,https://leetcode.com/problems/find-the-grid-of-region-average/,Medium,Array
1171,Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list/,Medium,Array
2353,Design a Food Rating System,https://leetcode.com/problems/design-a-food-rating-system/,Medium,Array
573,Squirrel Simulation,https://leetcode.com/problems/squirrel-simulation/,Medium,Array
2567,Minimum Impossible OR,https://leetcode.com/problems/minimum-score-by-changing-two-elements/,Medium,Array
3175,Find The First Player to win K Games in a Row,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row/,Medium,Array
3121,Count the Number of Special Characters II,https://leetcode.com/problems/count-the-number-of-special-characters-ii/,Medium,Array
3120,Count the Number of Special Characters I,https://leetcode.com/problems/count-the-number-of-special-characters-i/,Easy,Array
3153,Sum of Digit Differences of All Pairs,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs/,Medium,Array
3071,Minimum Operations to Write the Letter Y on a Grid,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid/,Medium,Array
1701,Average Waiting Time,https://leetcode.com/problems/average-waiting-time/,Medium,Array
3096,Minimum Levels to Gain More Points,https://leetcode.com/problems/minimum-levels-to-gain-more-points/,Medium,Array
1074,Number of Submatrices That Sum to Target,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target/,Hard,Array
3027,Find the Number of Ways to Place People II,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-ii/,Hard,Array
2569,Handling Sum Queries After Update,https://leetcode.com/problems/handling-sum-queries-after-update/,Hard,Array
3381,Maximum Subarray Sum With Length Divisible by K,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/,Medium,Array
3017,Count the Number of Houses at a Certain Distance II,https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-ii/,Hard,Array
2654,Substring XOR Queries,https://leetcode.com/problems/minimum-number-of-operations-to-make-all-array-elements-equal-to-1/,Medium,Array
910,Smallest Range II,https://leetcode.com/problems/smallest-range-ii/,Medium,Array
1752,Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,Easy,Array
3440,Reschedule Meetings for Maximum Free Time II,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii/,Medium,Array
1800,Maximum Ascending Subarray Sum,https://leetcode.com/problems/maximum-ascending-subarray-sum/,Easy,Array
1790,Check if One String Swap Can Make Strings Equal,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal/,Easy,Array
1726,Tuple with Same Product,https://leetcode.com/problems/tuple-with-same-product/,Medium,Array
1352,Product of the Last K Numbers,https://leetcode.com/problems/product-of-the-last-k-numbers/,Medium,Array
1524,Number of Sub-arrays With Odd Sum,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/,Medium,Array
1749,Maximum Absolute Sum of Any Subarray,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/,Medium,Array
2460,Apply Operations to an Array,https://leetcode.com/problems/apply-operations-to-an-array/,Easy,Array
3468,Find the Number of Copy Arrays,https://leetcode.com/problems/find-the-number-of-copy-arrays/,Medium,Array
3478,Choose K Elements With Maximum Sum,https://leetcode.com/problems/choose-k-elements-with-maximum-sum/,Medium,Array
2780,Minimum Index of a Valid Split,https://leetcode.com/problems/minimum-index-of-a-valid-split/,Medium,Array
